reference,target,ref_k,ref_entropy,target_entropy,entropy_diff,cramers_v,p_value,interpretation,mean_deviation,target_n
D1-Swiss,D2-Cultural,2,0.989963947388565,0.9777945702913884,0.012169377097176581,0.013252388851580442,0.7120018837744451,Universal,0.03363600491201972,80
D1-Swiss,D3-Academic,2,0.989963947388565,0.9996801222899165,0.00971617490135157,0.016320580705455664,0.013286380841444616,Universal,0.07423036939368181,22320
D1-Swiss,D4-Tech,2,0.989963947388565,0.9721378777969207,0.017826069591644234,0.037786414961994925,0.1224362596856921,Universal,0.028173810046139405,975
D2-Cultural,D1-Swiss,4,0.9234532432253895,0.9442180898659159,0.02076484664052647,0.052684848770241016,0.5410780392864862,Universal,0.0897202702919305,696
D2-Cultural,D3-Academic,4,0.9234532432253895,0.8494694813162377,0.07398376190915179,0.04370651635276914,2.7273168983476826e-09,Universal,0.08692080310661776,22320
D2-Cultural,D4-Tech,4,0.9234532432253895,0.8512135139320479,0.07223972929334155,0.08865279550817051,0.04035473641487176,Universal,0.027355689945238904,975
D3-Academic,D1-Swiss,2,0.9846324645949266,0.998474616194268,0.013842151599341435,0.016997227780958704,0.009918617031032122,Universal,0.12352677492586683,696
D3-Academic,D2-Cultural,2,0.9846324645949266,0.9995491108252484,0.01491664623032185,0.006521065938304015,0.3290725015327515,Universal,0.043124210568749335,80
D3-Academic,D4-Tech,2,0.9846324645949266,0.9971746083465395,0.012542143751612889,0.016602691313168258,0.011276264778507124,Universal,0.048878368930546964,975
D4-Tech,D1-Swiss,2,0.9988455359952018,0.9973716177249363,0.0014739182702654396,0.0088260674068381,0.7182558344587817,Universal,0.04066487530907004,696
D4-Tech,D2-Cultural,2,0.9988455359952018,0.9927744539878083,0.00607108200739348,0.012315148306625985,0.6891525246758861,Universal,0.011796060762098128,80
D4-Tech,D3-Academic,2,0.9988455359952018,0.9990214162219794,0.00017588022677761384,0.015179514014221617,0.020514431254041187,Universal,0.032023741611592195,22320
