reference,target,ref_k,ref_entropy,target_entropy,entropy_diff,cramers_v,p_value,interpretation,rmsd,target_n
D1-Swiss,D2-Cultural,2,0.9914801474700047,0.9182958340544894,0.07318431341551523,0.05349472137161193,0.4539017486243181,Universal,0.3685612509730758,21
D1-Swiss,D3-Academic,2,0.9914801474700047,0.9994994984866593,0.00801935101665463,0.013112306991501736,0.31982939596105336,Universal,0.31597859321918664,5581
D1-Swiss,D4-Tech,2,0.9914801474700047,0.9960707967664838,0.004590649296479121,0.012371899376362697,0.8000777631465656,Universal,0.2784741197329984,244
D2-Cultural,D1-Swiss,4,0.7875572957053286,0.9506618354674788,0.16310453976215022,0.14817164130888413,0.23053560733909378,Universal,0.2849938499081428,175
D2-Cultural,D3-Academic,4,0.7875572957053286,0.8633350804165959,0.07577778471126728,0.014498867320443917,0.758372848448105,Universal,0.3221273821197798,5581
D2-Cultural,D4-Tech,4,0.7875572957053286,0.8643161194826193,0.07675882377729071,0.17595880069133943,0.04196345176871824,Universal,0.22415241047587478,244
D3-Academic,D1-Swiss,2,0.986403988779422,0.999976445667063,0.013572456887640971,0.02173477166596535,0.09915166486571486,Universal,0.38929162879574086,175
D3-Academic,D2-Cultural,2,0.986403988779422,0.998363672593813,0.011959683814390942,0.008444632328330424,0.5273533858740177,Universal,0.2690876895715101,21
D3-Academic,D4-Tech,2,0.986403988779422,0.9497869033961422,0.03661708538327979,0.024478647857300917,0.061726993467466844,Universal,0.24845988505528827,244
D4-Tech,D1-Swiss,2,0.995148095654003,0.9914801474700047,0.003667948183998293,0.08912956288862699,0.06808608533528263,Universal,0.31294940558181616,175
D4-Tech,D2-Cultural,2,0.995148095654003,0.9587118829771317,0.03643621267687125,0.07260208911160985,0.23725475395550372,Universal,0.29991767957431076,21
D4-Tech,D3-Academic,2,0.995148095654003,0.9999916395714611,0.004843543917458115,0.014882209284356386,0.2560254886786295,Universal,0.23332915393079018,5581
